playID,gameId,year,week,offenseAbbr,defenseAbbr,quarter,clock,type,down,distance,yardLine,yardsGained
400763403_0_1,400763403,2015,1,ND,TEX,1,00:14:55,Rush,1,10,25,2
400763403_0_2,400763403,2015,1,ND,TEX,1,00:14:14,Rush,2,8,27,1
400763403_0_3,400763403,2015,1,ND,TEX,1,00:13:30,Pass Reception,3,7,28,17
400763403_0_4,400763403,2015,1,ND,TEX,1,00:13:06,Pass Incompletion,1,10,45,0
400763403_0_5,400763403,2015,1,ND,TEX,1,00:12:58,Rush,2,10,45,3
400763403_0_6,400763403,2015,1,ND,TEX,1,00:12:10,Pass Reception,3,7,48,6
400763403_2_0,400763403,2015,1,ND,TEX,1,00:09:47,Pass Reception,1,10,45,6
400763403_2_1,400763403,2015,1,ND,TEX,1,00:09:30,Rush,2,4,51,6
400763403_2_2,400763403,2015,1,ND,TEX,1,00:08:56,Rush,1,10,57,15
400763403_2_3,400763403,2015,1,ND,TEX,1,00:08:29,Pass Reception,1,10,72,13
400763403_2_5,400763403,2015,1,ND,TEX,1,00:07:40,Rush,1,15,80,2
400763403_2_6,400763403,2015,1,ND,TEX,1,00:07:12,Pass Reception,2,13,82,2
400763403_2_7,400763403,2015,1,ND,TEX,1,00:06:29,Passing Touchdown,3,11,84,16
400763403_4_0,400763403,2015,1,ND,TEX,1,00:04:42,Rush,1,10,5,4
400763403_4_1,400763403,2015,1,ND,TEX,1,00:04:05,Rush,2,6,9,13
400763403_4_2,400763403,2015,1,ND,TEX,1,00:03:28,Rush,1,10,22,-4
400763403_4_3,400763403,2015,1,ND,TEX,1,00:02:48,Pass Reception,2,14,18,15
400763403_4_4,400763403,2015,1,ND,TEX,1,00:02:20,Pass Reception,1,10,33,17
400763403_4_5,400763403,2015,1,ND,TEX,1,00:02:00,Rush,1,10,50,3
400763403_4_6,400763403,2015,1,ND,TEX,1,00:01:39,Pass Reception,2,7,53,19
400763403_4_7,400763403,2015,1,ND,TEX,1,00:01:22,Rush,1,10,72,14
400763403_4_8,400763403,2015,1,ND,TEX,1,00:01:02,Rushing Touchdown,1,10,86,14
400763403_6_0,400763403,2015,1,ND,TEX,2,00:13:23,Pass Reception,1,10,22,20
400763403_6_1,400763403,2015,1,ND,TEX,2,00:13:10,Rush,1,10,42,-1
400763403_6_2,400763403,2015,1,ND,TEX,2,00:12:30,Rush,2,11,41,9
400763403_6_3,400763403,2015,1,ND,TEX,2,00:11:47,Rush,3,2,50,-6
400763403_8_1,400763403,2015,1,ND,TEX,2,00:09:10,Rush,1,15,66,9
400763403_8_2,400763403,2015,1,ND,TEX,2,00:08:37,Pass Incompletion,2,6,75,0
400763403_8_4,400763403,2015,1,ND,TEX,2,00:08:33,Rush,3,6,75,5
400763403_10_0,400763403,2015,1,ND,TEX,2,00:05:48,Pass Reception,1,10,35,13
400763403_10_1,400763403,2015,1,ND,TEX,2,00:05:24,Rush,1,10,48,7
400763403_10_2,400763403,2015,1,ND,TEX,2,00:05:04,Rush,2,3,55,-3
400763403_10_3,400763403,2015,1,ND,TEX,2,00:04:20,Rush,3,6,52,14
400763403_10_4,400763403,2015,1,ND,TEX,2,00:03:55,Rush,1,10,66,4
400763403_10_6,400763403,2015,1,ND,TEX,2,00:03:26,Rush,2,6,70,2
400763403_13_0,400763403,2015,1,ND,TEX,3,00:13:29,Pass Reception,1,10,17,25
400763403_13_1,400763403,2015,1,ND,TEX,3,00:13:01,Rush,1,10,42,21
400763403_13_2,400763403,2015,1,ND,TEX,3,00:12:30,Rush,1,10,63,8
400763403_13_3,400763403,2015,1,ND,TEX,3,00:12:04,Rush,2,2,71,4
400763403_13_4,400763403,2015,1,ND,TEX,3,00:11:44,Rush,1,10,75,8
400763403_13_5,400763403,2015,1,ND,TEX,3,00:11:10,Rush,2,2,83,-7
400763403_13_6,400763403,2015,1,ND,TEX,3,00:10:40,Pass Reception,3,9,76,-4
400763403_15_1,400763403,2015,1,ND,TEX,3,00:08:23,Rush,1,10,10,3
400763403_15_3,400763403,2015,1,ND,TEX,3,00:07:39,Rush,2,7,13,7
400763403_15_4,400763403,2015,1,ND,TEX,3,00:07:06,Rush,1,10,20,12
400763403_15_5,400763403,2015,1,ND,TEX,3,00:06:33,Rush,1,10,32,2
400763403_15_6,400763403,2015,1,ND,TEX,3,00:05:50,Passing Touchdown,2,8,34,66
400763403_17_0,400763403,2015,1,ND,TEX,3,00:04:10,Pass Reception,1,10,44,15
400763403_17_1,400763403,2015,1,ND,TEX,3,00:03:43,Rush,1,10,59,-1
400763403_17_2,400763403,2015,1,ND,TEX,3,00:03:08,Rush,2,11,58,6
400763403_17_3,400763403,2015,1,ND,TEX,3,00:02:33,Pass Reception,3,5,64,11
400763403_17_4,400763403,2015,1,ND,TEX,3,00:02:00,Rushing Touchdown,1,10,75,25
400763403_19_0,400763403,2015,1,ND,TEX,3,00:00:00,Pass Reception,1,10,40,30
400763403_19_3,400763403,2015,1,ND,TEX,4,00:14:11,Pass Incompletion,2,15,65,0
400763403_19_4,400763403,2015,1,ND,TEX,4,00:14:02,Pass Reception,3,15,65,20
400763403_19_5,400763403,2015,1,ND,TEX,4,00:13:22,Rush,1,10,85,7
400763403_19_6,400763403,2015,1,ND,TEX,4,00:13:00,Rush,2,3,92,5
400763403_19_8,400763403,2015,1,ND,TEX,4,00:12:07,Rush,1,8,92,2
400763403_19_9,400763403,2015,1,ND,TEX,4,00:11:46,Passing Touchdown,2,0,94,6
400763403_21_0,400763403,2015,1,ND,TEX,4,00:10:39,Rush,1,10,20,1
400763403_21_1,400763403,2015,1,ND,TEX,4,00:10:10,Rush,2,9,21,8
400763403_21_2,400763403,2015,1,ND,TEX,4,00:09:34,Rush,3,1,29,4
400763403_21_3,400763403,2015,1,ND,TEX,4,00:09:20,Rush,1,10,33,5
400763403_21_4,400763403,2015,1,ND,TEX,4,00:08:15,Rush,2,5,38,3
400763403_21_5,400763403,2015,1,ND,TEX,4,00:07:35,Rush,3,2,41,3
400763403_21_6,400763403,2015,1,ND,TEX,4,00:07:30,Rush,1,10,44,-1
400763403_21_7,400763403,2015,1,ND,TEX,4,00:06:11,Rush,2,11,43,1
400763403_21_8,400763403,2015,1,ND,TEX,4,00:05:34,Pass Incompletion,3,10,44,0
400763403_23_0,400763403,2015,1,ND,TEX,4,00:02:42,Rush,1,10,10,1
400763403_23_1,400763403,2015,1,ND,TEX,4,00:01:55,Rush,2,9,11,0
400763403_23_2,400763403,2015,1,ND,TEX,4,00:01:03,Rush,3,9,11,24
400763403_23_3,400763403,2015,1,ND,TEX,4,00:00:27,Rush,1,10,35,-2
400763403_23_4,400763403,2015,1,ND,TEX,4,00:00:00,Rush,2,12,33,-1
400763452_0_1,400763452,2015,10,KU,TEX,1,00:15:00,Rush,1,10,79,3
400763452_0_2,400763452,2015,10,KU,TEX,1,00:15:00,Rush,2,7,76,17
400763452_0_3,400763452,2015,10,KU,TEX,1,00:15:00,Pass Incompletion,1,10,59,0
400763452_0_5,400763452,2015,10,KU,TEX,1,00:15:00,Pass Reception,3,16,65,14
400763452_2_1,400763452,2015,10,KU,TEX,1,00:12:06,Pass Incompletion,1,10,75,0
400763452_2_2,400763452,2015,10,KU,TEX,1,00:12:06,Rush,2,10,75,6
400763452_2_3,400763452,2015,10,KU,TEX,1,00:12:06,Pass Incompletion,3,4,69,0
400763452_4_1,400763452,2015,10,KU,TEX,1,00:08:56,Pass Reception,1,10,75,5
400763452_4_2,400763452,2015,10,KU,TEX,1,00:08:56,Pass Reception,2,5,70,11
400763452_4_4,400763452,2015,10,KU,TEX,1,00:08:56,Pass Incompletion,2,18,67,0
400763452_4_5,400763452,2015,10,KU,TEX,1,00:08:56,Pass Interception Return,3,18,67,36
400763452_6_1,400763452,2015,10,KU,TEX,1,00:06:51,Rush,1,10,75,5
400763452_6_2,400763452,2015,10,KU,TEX,1,00:06:51,Rush,2,5,70,2
400763452_6_3,400763452,2015,10,KU,TEX,1,00:06:51,Pass Incompletion,3,3,68,0
400763452_8_0,400763452,2015,10,KU,TEX,1,00:04:09,Pass Reception,1,10,87,32
400763452_8_1,400763452,2015,10,KU,TEX,1,00:04:09,Rush,1,10,55,9
400763452_8_2,400763452,2015,10,KU,TEX,1,00:04:09,Rush,2,1,46,5
400763452_8_3,400763452,2015,10,KU,TEX,1,00:04:09,Rush,1,10,41,1
400763452_8_5,400763452,2015,10,KU,TEX,1,00:04:09,Pass Reception,3,18,49,16
400763452_8_6,400763452,2015,10,KU,TEX,1,00:04:09,Rush,4,2,33,14
400763452_8_8,400763452,2015,10,KU,TEX,1,00:04:09,Pass Incompletion,1,5,14,0
400763452_8_9,400763452,2015,10,KU,TEX,1,00:00:21,Passing Touchdown,2,5,14,0
400763452_11_1,400763452,2015,10,KU,TEX,2,00:11:58,Pass Reception,1,10,59,5
400763452_11_2,400763452,2015,10,KU,TEX,2,00:11:58,Pass Incompletion,2,5,54,0
400763452_11_3,400763452,2015,10,KU,TEX,2,00:11:58,Pass Reception,3,5,54,12
400763452_11_4,400763452,2015,10,KU,TEX,2,00:11:58,Pass Incompletion,1,10,42,0
400763452_11_5,400763452,2015,10,KU,TEX,2,00:11:58,Pass Incompletion,2,10,42,0
400763452_11_6,400763452,2015,10,KU,TEX,2,00:11:58,Pass Reception,3,10,42,18
400763452_11_7,400763452,2015,10,KU,TEX,2,00:11:58,Pass Incompletion,1,10,24,0
400763452_11_8,400763452,2015,10,KU,TEX,2,00:11:58,Rush,2,10,24,6
400763452_11_9,400763452,2015,10,KU,TEX,2,00:11:58,Rush,3,4,18,7
400763452_11_10,400763452,2015,10,KU,TEX,2,00:11:58,Rush,1,10,11,6
400763452_11_11,400763452,2015,10,KU,TEX,2,00:11:58,Rush,2,4,5,4
400763452_11_12,400763452,2015,10,KU,TEX,2,00:08:49,Rushing Touchdown,1,0,1,1
400763452_13_0,400763452,2015,10,KU,TEX,2,00:07:24,Rush,1,7,7,5
400763452_13_1,400763452,2015,10,KU,TEX,2,00:07:24,Rush,2,2,2,0
400763452_13_2,400763452,2015,10,KU,TEX,2,00:07:24,Rush,3,2,2,1
400763452_15_0,400763452,2015,10,KU,TEX,2,00:03:57,Rush,1,10,42,2
400763452_15_1,400763452,2015,10,KU,TEX,2,00:03:57,Rush,2,8,40,4
