playID,homeAbbr,awayAbbr,homeScore,awayScore
333640251_0_0,TEX,ORE,0,0
333640251_0_1,TEX,ORE,0,0
333640251_0_2,TEX,ORE,0,0
333640251_0_3,TEX,ORE,0,7
333640251_1_0,TEX,ORE,0,7
333640251_1_2,TEX,ORE,0,7
333640251_1_3,TEX,ORE,0,7
333640251_2_0,TEX,ORE,0,7
333640251_2_1,TEX,ORE,0,7
333640251_2_2,TEX,ORE,0,7
333640251_2_3,TEX,ORE,0,7
333640251_2_4,TEX,ORE,0,7
333640251_2_5,TEX,ORE,0,7
333640251_2_6,TEX,ORE,0,7
333640251_2_8,TEX,ORE,0,7
333640251_2_10,TEX,ORE,0,7
333640251_2_11,TEX,ORE,0,7
333640251_3_0,TEX,ORE,0,10
333640251_3_1,TEX,ORE,0,10
333640251_3_2,TEX,ORE,0,10
333640251_3_3,TEX,ORE,0,10
333640251_3_4,TEX,ORE,0,10
333640251_3_5,TEX,ORE,0,10
333640251_3_6,TEX,ORE,0,10
333640251_3_7,TEX,ORE,0,10
333640251_3_8,TEX,ORE,0,10
333640251_3_9,TEX,ORE,0,10
333640251_3_10,TEX,ORE,0,10
333640251_3_11,TEX,ORE,0,10
333640251_3_12,TEX,ORE,0,10
333640251_3_13,TEX,ORE,0,10
333640251_3_14,TEX,ORE,0,10
333640251_3_15,TEX,ORE,6,10
333640251_4_0,TEX,ORE,7,10
333640251_4_1,TEX,ORE,7,10
333640251_4_2,TEX,ORE,7,10
333640251_4_3,TEX,ORE,7,10
333640251_4_4,TEX,ORE,7,10
333640251_4_5,TEX,ORE,7,10
333640251_4_6,TEX,ORE,7,10
333640251_4_7,TEX,ORE,7,10
333640251_5_0,TEX,ORE,7,13
333640251_5_1,TEX,ORE,7,13
333640251_5_2,TEX,ORE,7,13
333640251_6_1,TEX,ORE,7,13
333640251_6_2,TEX,ORE,7,13
333640251_6_3,TEX,ORE,7,13
333640251_6_4,TEX,ORE,7,13
333640251_6_6,TEX,ORE,7,13
333640251_7_0,TEX,ORE,7,13
333640251_7_1,TEX,ORE,7,13
333640251_7_2,TEX,ORE,7,13
333640251_8_0,TEX,ORE,7,13
333640251_8_1,TEX,ORE,7,13
333640251_8_2,TEX,ORE,7,13
333640251_8_3,TEX,ORE,7,13
333640251_8_5,TEX,ORE,7,13
333640251_8_6,TEX,ORE,7,13
333640251_8_7,TEX,ORE,7,13
333640251_9_0,TEX,ORE,7,13
333640251_9_1,TEX,ORE,7,13
333640251_9_2,TEX,ORE,7,13
333640251_9_3,TEX,ORE,7,13
333640251_10_0,TEX,ORE,7,13
333640251_10_1,TEX,ORE,7,13
333640251_10_2,TEX,ORE,7,13
333640251_10_3,TEX,ORE,7,13
333640251_10_4,TEX,ORE,7,13
333640251_10_5,TEX,ORE,7,13
333640251_10_7,TEX,ORE,7,19
333640251_11_0,TEX,ORE,7,20
333640251_11_1,TEX,ORE,7,20
333640251_12_0,TEX,ORE,7,20
333640251_12_1,TEX,ORE,7,20
333640251_12_2,TEX,ORE,7,20
333640251_12_3,TEX,ORE,0,0
333640251_12_4,TEX,ORE,0,0
333640251_12_5,TEX,ORE,0,0
333640251_12_6,TEX,ORE,7,20
333640251_13_0,TEX,ORE,7,23
333640251_13_1,TEX,ORE,7,23
333640251_13_2,TEX,ORE,7,23
333640251_14_0,TEX,ORE,7,23
333640251_14_2,TEX,ORE,7,23
333640251_14_3,TEX,ORE,7,23
333640251_14_4,TEX,ORE,7,23
333640251_14_5,TEX,ORE,7,23
333640251_14_6,TEX,ORE,7,23
333640251_15_0,TEX,ORE,7,23
333640251_15_1,TEX,ORE,7,23
333640251_16_0,TEX,ORE,7,23
333640251_16_2,TEX,ORE,7,23
333640251_16_3,TEX,ORE,7,23
333640251_16_4,TEX,ORE,7,23
333640251_16_5,TEX,ORE,7,23
333640251_16_6,TEX,ORE,7,23
333640251_16_7,TEX,ORE,7,23
333640251_16_8,TEX,ORE,7,23
333640251_17_0,TEX,ORE,7,23
333640251_17_1,TEX,ORE,7,23
333640251_17_2,TEX,ORE,7,23
333640251_18_0,TEX,ORE,7,23
333640251_18_1,TEX,ORE,7,23
333640251_18_2,TEX,ORE,7,23
333640251_19_0,TEX,ORE,7,23
333640251_19_1,TEX,ORE,7,23
333640251_19_2,TEX,ORE,7,23
333640251_19_3,TEX,ORE,7,23
333640251_19_4,TEX,ORE,7,23
333640251_19_5,TEX,ORE,7,23
333640251_19_6,TEX,ORE,7,23
333640251_19_7,TEX,ORE,7,23
333640251_19_8,TEX,ORE,7,29
333640251_20_0,TEX,ORE,7,30
333640251_20_1,TEX,ORE,7,30
333640251_20_2,TEX,ORE,7,30
333640251_20_3,TEX,ORE,7,30
333640251_20_4,TEX,ORE,7,30
333640251_20_5,TEX,ORE,7,30
333640251_20_7,TEX,ORE,7,30
333640251_20_8,TEX,ORE,7,30
333640251_20_9,TEX,ORE,7,30
333640251_20_11,TEX,ORE,7,30
333640251_20_12,TEX,ORE,7,30
333640251_20_13,TEX,ORE,7,30
333640251_20_15,TEX,ORE,7,30
333640251_21_1,TEX,ORE,7,30
333640251_21_2,TEX,ORE,7,30
333640251_21_3,TEX,ORE,7,30
333640251_21_4,TEX,ORE,7,30
333640251_21_5,TEX,ORE,7,30
332430251_0_1,TEX,NMSU,0,0
332430251_0_2,TEX,NMSU,0,0
332430251_0_3,TEX,NMSU,0,0
332430251_1_0,TEX,NMSU,0,0
